code,network,station,id,longitude,latitude,elevation
CO0301,SS,22626,SS.22626,7.289057,47.327455,550.7
CO0361,SS,22631,SS.22631,7.291915,47.343169,543.3
CO0665,SS,22638,SS.22638,7.120602,47.410689,487.2
OC0459,SS,22642,SS.22642,7.090641,47.348894,442.8
DE1039,SS,22643,SS.22643,7.325642,47.366675,455.6
CO0394,SS,22649,SS.22649,7.323767,47.352604,430.0
CO2039,SS,22653,SS.22653,7.301126,47.336361,446.4
OC0486,SS,22654,SS.22654,7.064377,47.348191,546.8
CO2062,SS,22657,SS.22657,7.400161,47.347695,445.2
GL0351,SS,22659,SS.22659,7.190231,47.328617,534.9
PO1006,SS,22675,SS.22675,7.07354,47.421321,476.8
BA2024,SS,22682,SS.22682,7.23454,47.333302,487.7
CO1009,SS,22685,SS.22685,7.103857,47.415332,497.4
DE0421,SS,22686,SS.22686,7.299893,47.356944,464.2
DE1043,SS,22690,SS.22690,7.356882,47.36719,413.4
EP0341,SS,22691,SS.22691,7.08484,47.316085,477.6
GL2021,SS,22692,SS.22692,7.211595,47.333003,505.6
CO1047,SS,22698,SS.22698,7.382433,47.365207,418.0
DE0453,SS,22701,SS.22701,7.323776,47.364673,443.3
CO0299,SS,22703,SS.22703,7.268782,47.325409,541.5
CO0305,SS,22704,SS.22704,7.329713,47.331274,521.1
CO0646,SS,22706,SS.22706,7.142928,47.40527,515.7
BA0327,SS,22708,SS.22708,7.250571,47.330687,512.8
CO1015,SS,22709,SS.22709,7.145136,47.396029,556.2
CO0685,SS,22713,SS.22713,7.156986,47.42487,472.3
DE0449,SS,22716,SS.22716,7.288254,47.36351,522.2
GL2019,SS,22718,SS.22718,7.203528,47.328641,578.7
CO1051,SS,22719,SS.22719,7.417786,47.364632,517.1
BA0386,SS,22720,SS.22720,7.239648,47.341914,480.3
AL0684,SS,22721,SS.22721,7.143366,47.420155,497.0
CO0620,SS,22723,SS.22723,7.099564,47.39153,570.0
CO1016,SS,22728,SS.22728,7.147547,47.40066,535.7
CO1014,SS,22730,SS.22730,7.141109,47.401762,521.1
DE0451,SS,22739,SS.22739,7.311389,47.365232,471.5
BA0326,SS,22740,SS.22740,7.23907,47.328925,526.2
DE0422,SS,22742,SS.22742,7.309068,47.358838,451.3
CO0331,SS,22743,SS.22743,7.29324,47.335815,454.5
BA0387,SS,22745,SS.22745,7.249045,47.345106,473.8
DE0485,SS,22747,SS.22747,7.357481,47.379829,523.0
DE0419,SS,22750,SS.22750,7.278954,47.356832,542.1
